language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
148	Bartangi	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	dārδ čegow	POSS	NOM	X	POSS_NOM	The possessor NP displays some properties of a clause-level dependent.	Ahmed-ā wi kāl dārδ kix̌-t	PN-POSS D3.M.SG.OBL head pain do-3SG	‘Ahmed has a headache.’			CV. DR: “Мы анализируем Ahmed-ā как внешнего посессора. Это конструкция, аналогичная шугнанской, где Ahmed-ā можно опустить и выразить посессивность как Ahmed kāl (Ахмедова голова). Цепочку можно разрывать, можно сказать что-то вроде «у Ахмеда сильно болела голова», где 'сильно' может оказаться после Ahmed-ā и перед wi kāl.”
148	Bartangi	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	vidow	pa	NOM	X	pa_NOM	Non-verbal predicate.	pa Ahmed grip	UP PN flu	‘Ahmed has the flu.’			Same verb as in 60, different pattern. DR: “Первое слово предлог (латив с направлением вверх), в прошедшем времени связка будет согласовываться с названием болезни.”
148	Bartangi	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	x̆ōǰ δertow	NOM	EL	Y	NOM_EL	This is not a DOM pattern.	Ahmed az kud x̌oǰ δor-t	PN EL dog fear AUX-3SG	‘Ahmed is afraid of the dog.’			CV
148	Bartangi	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	wīδdow	NOM	DO	TR	TR		Abdullo žer wiδ-d	PN stone put-PST	‘Ahmed threw a stone.’			Same as 96.
148	Bartangi	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	yast	*	*	*		Not included in the database because this translation is semantically inaccurate.	Ahmed-ā som yast	PN-POSS somoni exist	‘Ahmed has money.’			
148	Bartangi	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	monand vidow	NOM	EQ	Y	NOM_EQ	Non-verbal predicate.	Ahmed tar Abdullo monand	PN EQ PN similar	‘Ahmed resembles Abdullo.’			
148	Bartangi	7	believe	X (believe) Y	верить	X (верить)Y-у	bowari δêdow	NOM	DAT	Y	NOM_DAT		Ahmed Abdullo-ri bowari δê-d	PN PN-DAT trust give-3SG	‘Ahmed believes Abdullo.’			CV. Same as 114.
148	Bartangi	8	take	X (take) Y	взять	X (брать) Y(-а)	zêх̌tow	NOM	DO	TR	TR		Ahmed kitob zox̌-t	PN book take-PST	‘Ahmed took a book.’			
148	Bartangi	9	see	X (see) Y	видеть	X (видеть) Y(-а)	wīntow	NOM	DO	TR	TR		Ahmed čod wīn-t	PN house see-3SG	‘Ahmed sees a house.’			
148	Bartangi	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	tāsīr čegow	NOM	SUP	Y	NOM_SUP		sinisol maɣz=tīr tāsīr kix̌-t	age brain=SUP influence do-3SG	‘Age influences memory.’			CV
148	Bartangi	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	dičor sidow	NOM	DAT	Y	NOM_DAT		Ahmed Abdullo-ri dičor su-d	PN PN-DAT towards go.M-PST	‘Ahmed encountered Abdullo.’			CV. «dičor» is part of the complex verb. 
