language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
65	Belarusian	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	баліць 	DAT	NOM	X	DAT_NOM		Алес-ю бал-іць галав-а	PN-DAT.SG ache(IPFV)-PRS.3SG head-NOM.SG	‘Ales’ has a headache.’	PN-DAT.SG болеть(IPFV)-PRS.3SG голова-NOM.SG	‘У Алеся болит голова’.	Alternative is uGEN_NOM, cf. “У Алес-я бал-іць галава.” [at PN-GEN.SG ache-PRS.3SG head-NOM.SG] ‘Ales' has a headache’.		
65	Belarusian	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	хварэе	NOM	naACC	Y	NOM_naACC		Алесь хварэ-е на грып	PN[NOM.SG] be_sick(IPFV)-PRS.3SG на flu[ACC.SG]	‘Ales’ has the flu.’	PN[NOM.SG] болеть(IPFV)-PRS.3SG на грипп[ACC.SG]	‘Алесь болеет гриппом’.	Alternative is NOM_naACC, cf. “Алесь хварэ-е грып-ам.” [PN[NOM.SG] be_sick-PRS.3SG flu-INS.SG] ‘Ales' has the flu’.		
65	Belarusian	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	баіцца 	NOM	GEN	Y	NOM_GEN		Алесь ба-іц-ца сабак-і	PN[NOM.SG] be_afraid(IPFV)-PRS.3SG-REFL dog-GEN.SG	‘Ales’ is afraid of the dog.’	PN[NOM.SG] бояться(IPFV)-PRS.3SG-REFL собака-GEN.SG	‘Алесь боится собаки’.	REFL		
65	Belarusian	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	кінуў	NOM	ACC	TR	TR		Алесь кіну-ў камень	PN[NOM.SG] throw(PFV)-PST.SG.M stone[ACC.SG]	‘Ales’ threw a stone.’	PN[NOM.SG] бросить(PFV)-PST.SG.M камень[ACC.SG]	‘Алесь бросил камень’.			
65	Belarusian	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	хапае 	DAT	GEN	XY	DAT_GEN		Алес-ю хапа-е грош-ай	PN-DAT.SG be_enough(IPFV)-PRS.3SG money-GEN.PL	‘Ales’ has enough money.’	PN-DAT.SG хватать(IPFV)-PRS.3SG деньги-GEN.PL	‘Алесю хватает денег’.	Alternative is “Алесю стае грошай” with the same valency pattern.		
65	Belarusian	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	падобны + COP	NOM	naACC	Y	NOM_naACC	Non-verbal predicate.	Алесь падобн-ы на Васіл-я	PN[NOM.SG] similar-NOM.SG.M onPN-ACC.SG	‘Ales’ resembles Vasil’.’	PN[NOM.SG] похожий-NOM.SG.M на PN-ACC.SG	‘Алесь похож на Василя’.	Alternative is NOM_daGEN with the same predicate, cf. “Алесь падобн-ы да Васіл-я.” [Алесь[NOM.SG] похожий-nom.sg.m prep Василь-gen.sg] ‘Алесь похож на Василя’. NV. Вариант -- тот же предикат, но NOM + даGEN		
65	Belarusian	7	believe	X (believe) Y	верить	X (верить)Y-у	верыць	NOM	DAT	Y	NOM_DAT		Алесь вер-ыць Васіл-ю	PN[NOM.SG] believe(IPFV)-PRS.3SG PN-DAT.SG	‘Ales’ believes Vasil’.’	PN[NOM.SG] верить(IPFV)-PRS.3SG PN-DAT.SG	‘Алесь верит Василю’.			
65	Belarusian	8	take	X (take) Y	взять	X (брать) Y(-а)	узяў	NOM	ACC	TR	TR		Алесь узя-ў кніг-у з паліц-ы	PN[NOM.SG] take(PFV)-PST.SG.M book-ACC.SG from_on shelf-GEN.SG	‘Ales’ took a book from the shelf.’	PN[NOM.SG] взять(PFV)-PST.SG.M книга-ACC.SG с полка-GEN.SG	‘Алесь взял книгу’.			
65	Belarusian	9	see	X (see) Y	видеть	X (видеть) Y(-а)	бачыць	NOM	ACC	TR	TR		Алесь бач-ыць дом	PN[NOM.SG] see(IPFV)-PRS.3SG house[ACC.SG]	‘Ales’ sees a house.’	PN[NOM.SG] видеть(IPFV)-PRS.3SG дом[ACC.SG]	‘Алесь видит дом’.			
65	Belarusian	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	уплывае 	NOM	naACC	Y	NOM_naACC		узрост уплыва-е на памяць	age[NOM.SG] influence(IPFV)-PRS.3SG on memory[ACC.SG]	‘Age influences memory.’	возраст[NOM.SG] влиять(IPFV)-PRS.3SG на память[ACC.SG]	‘Возраст влияет на память.			
65	Belarusian	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	спаткаў 	NOM	ACC	TR	TR		Алесь спатка-ў Ален-у	PN[NOM.SG] meet(PFV)-PST.SG.M PN-ACC.SG	‘Ales’ encountered Alena.’	PN[NOM.SG] встретить(PFV)-PST.SG.M PN-ACC.SG	‘Алесь встретил Алену’.			
65	Belarusian	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	увайшоў 	NOM	uACC	Y	NOM_uACC		Алесь увайшо-ў у хат-у	PN[NOM.SG] come_in(PFV)-PST.SG.M in house-ACC.SG	‘Ales’ entered the house.’	PN[NOM.SG] войти(PFV)-PST.SG.M в дом-ACC.SG	‘Алесь вошел в дом’.			
65	Belarusian	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	выйграў	NOM	uGEN	Y	NOM_uGEN		Алесь выйгра-ў у Васіл-я	PN[NOM.SG] win(PFV)-PST.SG.M at PN-GEN.SG	‘Ales’ beat Vasil’.’	PN[NOM.SG] выиграть(PFV)-PST.SG.M у PN-GEN.SG	‘Алесь выиграл у Василя’.			
65	Belarusian	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	выйшаў	NOM	zGEN	Y	NOM_zGEN		Алесь выйша-ў з хат-ы	PN[NOM.SG] come_out(PFV)-PST.SG.M from_on house-GEN.SG	‘Ales’ went out of the house.’	PN[NOM.SG] выйти(PFV)-PST.SG.M с дом-GEN.SG	‘Алесь вышел из дома’.			
65	Belarusian	15	drive	X (drive) Y	гнать	X (гнать) Y-а	гоніць	NOM	ACC	TR	TR		Алесь гон-іць каров-у на выпас	PN[NOM.SG] drive(IPFV)-PRS.3SG cow-ACC.SG on pasture[ACC.SG]	‘Ales’ is driving the cow to the pasture.’	PN[NOM.SG] гнать(IPFV)-PRS.3SG корова-ACC.SG на пастбище[ACC.SG]	‘Алесь гонит корову на пастбище’.			
65	Belarusian	16	bend	X (bend) Y	гнуть	X (гнуть) Y	сагнуў	NOM	ACC	TR	TR		Алесь сагну-ў галінк-у	PN[NOM.SG] bend(PFV)-PST.SG.M branch-ACC.SG	‘Ales’ bent the branch.’	PN[NOM.SG] согнуть(PFV)-PST.SG.M ветка-ACC.SG	‘Алесь согнул ветку’.			
65	Belarusian	17	tell	X (tell) Y	говорить	X (говорить) Y-у	сказаў	NOM	DAT	Y	NOM_DAT		Алесь сказа-ў Васіл-ю	PN[NOM.SG] tell(PFV)-PST.SG.M PN-DAT.SG	‘Ales’ told Vasil’: ...’	PN[NOM.SG] сказать(PFV)-PST.SG.M PN-DAT.SG	‘Алесь сказал Василю: ...’.			
65	Belarusian	18	hold	X (hold)Y	держать	X (держать) Y(-а)	трымае	NOM	ACC	TR	TR		Алесь трыма-е кніг-у	PN[NOM.SG] hold(IPFV)-PRS.3SG book-ACC.SG	‘Ales’ is holding a book.’	PN[NOM.SG] держать(IPFV)-PRS.3SG книга-ACC.SG	‘Алесь держит книгу’.			
65	Belarusian	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	дагнаў	NOM	ACC	TR	TR		Алесь дагна-ў Ален-у	PN[NOM.SG] catch_up(PFV)-PST.SG.M PN-ACC.SG	‘Ales’ caught up with Alena.’	PN[NOM.SG] догнать(PFV)-PST.SG.M PN-ACC.SG	‘Алесь догнал Алену’.			
65	Belarusian	20	milk	X (milk) Y	доить	X (доить) Y-а	падаіў	NOM	ACC	TR	TR		Алесь падаі-ў каров-у	PN[NOM.SG] milk(PFV)-PST.SG.M cow-ACC.SG	‘Ales’ milked the cow.’	PN[NOM.SG] подоить(PFV)-PST.SG.M корова-ACC.SG	‘Алесь подоил корову’.			
65	Belarusian	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 	дасягнуў	NOM	GEN	Y	NOM_GEN		Алесь дасягну-ў бераг-а	PN[NOM.SG] reach(PFV)-PST.SG.M bank-GEN.SG	‘Ales’ reached the bank.’	PN[NOM.SG] достичь(PFV)-PST.SG.M берег-GEN.SG	‘Алесь достиг берега’.			
65	Belarusian	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а	дакрануўся	NOM	daGEN	Y	NOM_daGEN		Алесь дакрану-ў-ся да сцян-ы	PN[NOM.SG] touch(PFV)-PST.SG.M-REFL up_to wall-GEN.SG	‘Ales’ touched the wall.’	PN[NOM.SG] дотронуться(PFV)-PST.SG.M-REFL до стена-GEN.SG	‘Алесь дотронулся до стены’.	REFL		
65	Belarusian	23	fight	X (fight) with Y	драться	X (драться) с Y-ом	б'ецца	NOM	zINS	Y	NOM_zINS		Алесь б’-ец-ца з Васіл-ём	PN[NOM.SG] beat(IPFV)-PRS.3SG-REFL with PN-INS.SG	‘Ales’ is fighting with Vasil’.’	PN[NOM.SG] бить(IPFV)-PRS.3SG-REFL с PN-INS.SG	‘Алесь дерется с Василем’.	REFL		
