language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
150	Beserman	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	viśə̑nə̑	GEN	NOM	X	GEN_NOM	The NP in the genitive displays some properties of a clause-level dependent.	Petʼa-len jə̑r-ə̑z viś-e	PN-GEN head.NOM-3SG.POSS be.sick-PRS.3SG	‘Petja has a headache.’		‘У Пети болит голова.’	Same verb as 2, different pattern.		
150	Beserman	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	viśə̑nə̑	NOM	INS	Y	NOM_INS		Petʼa viś-e gripp-en	PN.NOM be.sick-PRS.3SG flu-INS	‘Petja has the flu.’		‘Петя болеет гриппом.’	Same verb as 1, different pattern.		
150	Beserman	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	kə̑škanə̑	NOM	GEN2	Y	NOM_GEN2		Petʼa kə̑ška pə̑nə̑-lə̑ś	PN.NOM be.afraid.PRS.3SG dog-GEN2	‘Petja is afraid of the dog.’		‘Петя боится собаки.’			
150	Beserman	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	kuštə̑nə̑	NOM	ACC	TR	TR		Petʼa iz kušt-i-z	PN.NOM stone.NOM throw-PST-3SG	‘Petja threw a stone.’		‘Петя бросил камень.’	Alternative: salʼə̑nə̑ with either TR or NOM_INS pattern: "Petʼa iz-en salʼ-i-z" [PN.NOM stone-INS throw-PST-3SG] ‘Petja threw a stone.’		
150	Beserman	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	okmə̑nə̑	GEN	NOM	X	GEN_NOM	The NP in the genitive displays some properties of a clause-level dependent. Alternative, less frequent pattern: DAT_NOM.	Petʼa-len okm-e końdon-ez	PN-GEN be.enough-PRS.3SG money.NOM-3SG.POSS	‘Petja has enough money.’		‘Пете хватает денег.’	The DAT_NOM pattern with okmə̑nə̑: "Petʼa-lə̑ okm-e końdon-ez" PN-DAT be.enough-PRS.3SG money.NOM-3SG.POSS. The same two patterns are possible.		
150	Beserman	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	tupanə̑	NOM	DAT	Y	NOM_DAT		Petʼa tə̑s-ə̑n - buj-ə̑n Miša-lə̑ tupa	PN.NOM face.features-INS face.features-INS PN-DAT be.similar.PRS.3SG	‘Petya looks like Misha.’		‘Петя внешне похож на Мишу.’	Same as 73. This construction with a dedicated verb for 'resemble' is probably less frequent than the one with a non-verbal predicate kadʼ 'like' (Petʼa Miša kadʼ tə̑s-ə̑n - buj-ə̑n [PN.NOM PN.NOM like face.features-INS face.features-INS]), but its advantage is that it has a less specified meaning. Apart from this, it is possible to use a construction with relational adjectives where both participants have equal rank ("Petʼa-jen Miša-jen odig tə̑s-jem-eś" [PN-INS PN-INS one face.features-PROP-PL.ADJ]).		
150	Beserman	7	believe	X (believe) Y	верить	X (верить)Y-у	oskə̑nə̑	NOM	DAT	Y	NOM_DAT		Petʼa osk-e Miša-lə̑	PN.NOM believe-PRS.3SG PN-DAT	‘Petja believes Misha.’		‘Петя верит Мише.’			
150	Beserman	8	take	X (take) Y	взять	X (брать) Y(-а)	baśtə̑nə̑	NOM	ACC	TR	TR		Petʼa baśt-i-z kńiga	PN.NOM take-PST-3SG book.NOM	‘Petja took a book.’		‘Петя взял книгу.’			
150	Beserman	9	see	X (see) Y	видеть	X (видеть) Y(-а)	adǯʼə̑nə̑	NOM	ACC	TR	TR		Petʼa adǯʼ-e korka	PN.NOM see-PRS.3SG house.NOM	‘Petja sees a house.’		‘Петя видит дом.’			
150	Beserman	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	*	*	*	*		No satisfactory translation has been obtained.	*	*	*		*	There is no native verb for 'influence / affect', and the Russian borrowing влиять is perceived as not entrenched. An idiomatic way of conveying this idea would be Pereśmisa jə̑r suraśkə̑nə̑ kučʼke ńi 'When getting old (get.old:CVB), the head starts to get messed up'.		
