language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
133	Kryz_Proper	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	tit xhiyic	*	*	*		Not included in the database because X is expressed as an NP-internal modifier.	aslan q'il yamanca tişa-ra ʕacu	PN(GEN) head(F) terribly ache.IPF-SIMUL be_in.F	‘Aslan has a terrible headache.’		‘У Аслана ужасно болит голова.’	Monika reported Israfil’s comment that a sentence like “aslan yamanca q'il tişa-ra ʕacu” would not be grammatical. Proper names are not marked as possessors, whereas common names are.		
133	Kryz_Proper	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	ü	NOM	NOM(NO.AGR)	Y	NOM_NOM(NO.AGR)	Non-verbal predicate.	aslan ts'ukam i	PN flu COP.M	‘Aslan has the flu.’		‘Аслан болеет гриппом.’	Same verb as 100, different pattern. Alternative is “aslan ts'ukam xhi yaʕa” [PN flu be.pf exist.pf.ptcp].		
133	Kryz_Proper	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	kiç' i	DAT	SUBEL	XY	DAT_SUBEL	Non-verbal predicate.	aslan-is xor-kir kiç' i	PN-DAT dog-SUBEL fear COP.N	‘Aslan is afraid of the dog.’		‘Аслан боится собаки’			
133	Kryz_Proper	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	tsavʕac	ERG	NOM	TR	TR		aslan-ir dahar tsaʕa-c	PN-ERG stone N.throw.PF-AOR.N	‘Aslan threw the stone.’		‘Аслан бросил камень’			
133	Kryz_Proper	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	tsurq'uc	GEN	NOM	X	GEN_NOM	The structure is tentatively classified as involving a clause-level genitive (by analogy with other languages). To be checked.	hal saʕat aslan pul tsurq'or-ü	this hour PN(GEN) money(F) reach.IPF-PRS.F	‘Now Aslan has enough money.’		‘Аслану сейчас хватает денег’	Same verb as 19 and 21, different pattern. Alternative is “aslan-ux bas ğeder pul yaʕo” [PN-apud enough quantity(f) money(f) exist.f].		
133	Kryz_Proper	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	qoxhric	NOM	INLAT	Y	NOM_INLAT		aslan rasul-aʕan qaxhir-ci	PN PN-INLAT come_up.PF-PERF	‘Aslan resembles Rasul.’		‘Аслан похож на Расула.’			
133	Kryz_Proper	7	believe	X (believe) Y	верить	X (верить)Y-у	vubğurıc	NOM	APUD	Y	NOM_APUD		aslan rasul-ux vurğa-ri	PN PN-APUD believe.IPF-PRS.M	‘Aslan believes Rasul.’		‘Аслан верит Расулу.’			
133	Kryz_Proper	8	take	X (take) Y	взять	X (брать) Y(-а)	qaynic	ERG	NOM	TR	TR		aslan-ir ç'ara-car kitab qayin-c	PN-ERG oriel-OBL.INEL book take.PF-AOR.N	‘Aslan took a book from the shelf.’		‘Аслан взял книгу с полки’			
133	Kryz_Proper	9	see	X (see) Y	видеть	X (видеть) Y(-а)	ipqhac	DAT	NOM	X	DAT_NOM		aslan-is k'ul irqh-ürü	PN-DAT house M.see.IPF-PRS.F	‘Aslan sees a house.’		‘Аслан видит дом.’			
133	Kryz_Proper	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	tasir yaric	INEL	DAT	XY	INEL_DAT	Probably an impersonal construction.	yaş-il-ar yaddaş-cis tasir yi-ri	age-OBL-INEL memory-OBL.DAT effect N.do.IPF-PRS.N	‘Age influences memory.’		‘Возраст влияет на память.’	CV.		
