language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
96	Mansi_Northern	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	ājmən	*	*	*		Not included in the database because X is (arguably) expressed as an NP-internal modifier. Non-verbal predicate.	pājel puŋk-e ājməŋ	PN head-POSS.3SG sick	‘Pasha has a headache.’		‘У Паши болит голова.’	ājməŋ is analyzed as ājm-əŋ ‘illness-prop’		
96	Mansi_Northern	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	ajməntaxti	NOM	INS	Y	NOM_INS		pajel ājməntaxt-i xōpsi ājm-əl	PN suffer_from-NPST.3SG lungs illness-INS	‘Pasha has tuberculose.’		‘Паша болеет туберкулёзом.’			
96	Mansi_Northern	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	pili	NOM	EL	Y	NOM_EL		āji-riɕ pil-i kūt’uw-əl	girl-DIM be_afraid-NPST.3SG dog-EL	‘The girl is afraid of the dog.’		‘Девочка боится собаку.’			
96	Mansi_Northern	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	wuɕkasas	NOM	ACC	TR	TR		pājel wuɕkas-as āxwtas	PN throw-PST.3SG stone	‘Pasha threw a stone.’		‘Паша бросил камень.’			
96	Mansi_Northern	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	towlawe	NOM	INS	Y	NOM_INS	This is a passive construction.	am ōln-əl towl-awe-m	I money-INS suffice-PASS-NPST.1SG	‘I have enough money.’		‘Мне хватает денег.’	Alternative is “am ōln-an-um towl-xat-ēj-t“ [I money-pl-poss.1sg suffice-refl-npst-3pl] (the verb is towlxati), where X is (arguably) expressed as an NP-internal modifier.		
96	Mansi_Northern	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	xurip	*	*	*		Not included in the database because Y is (arguably) expressed as an NP-internal modifier. Non-verbal predicate.	pājel āɕ-e xurip	PN father-POSS.3SG similar	‘Pasha resembles his father.’		‘Паша похож на своего отца.’	Имеется в виду, что это неглагольный предикат, что xurip это имя и что Y – что-то вроде модификатора этого имени. Если бы Y было местоимением, получилось бы, например, Тав ам хурип-ум [similar-POSS.1SG].		
96	Mansi_Northern	7	believe	X (believe) Y	верить	X (верить)Y-у	ajti	NOM	LAT	Y	NOM_LAT		taw ajt-i ɕān’-e-n	he believe-NPST.3SG mother-POSS.3SG-LAT	‘He believes his mother.’		‘Он верит своей матери.’			
96	Mansi_Northern	8	take	X (take) Y	взять	X (брать) Y(-а)	wis	NOM	ACC	TR	TR		āji-riɕ wi-s nēpak pasan-əl	girl-DIM take-PST.3SG book table-EL	‘The girl took a book from the table.’		‘Девочка взяла книгу со стола.’			
96	Mansi_Northern	9	see	X (see) Y	видеть	X (видеть) Y(-а)	kasali	NOM	ACC	TR	TR		am kāsal-ej-um kol	I see-NPST-1SG house	‘I see a house.’		‘Я вижу дом.’			
96	Mansi_Northern	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	*	*	*	*		No satisfactory translation has been obtained.	*	*	*					
