language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
68	Rutul	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	weddara	ATTR	NOM	X	ATTR_NOM		rasul-dɨ huq’ul w-edda-r=a	PN-ATTR head(NOM) 3-hurt.IPFV-CVB=be	‘Rasul has a headache.’	PN-ATTR голова(NOM) 3-болеть.IPFV-CVB=быть	‘У Расула болит голова.’	Обычная посессивная конструкция, к тому же это даже более широкая вещь, чем генитив. Тем не менее записываю так, как если бы это были два актанта глагола по аналогии с языками, где это точно оправданно. Порядок слов доказывает разрываемость.
68	Rutul	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	jiˁχɨˁra	DAT	NOM	X	DAT_NOM		rasul-u-s grip jiˁχɨˁ-r=a	PN-OBL-DAT influenza(NOM) 4.hit.PFV-CVB=be	‘Rasul has the flu.’	PN-OBL-DAT грипп(NOM) 4.ударить.PFV-CVB=быть	‘Расул болеет гриппом.’	Это буквально "ударить". 
68	Rutul	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	gič’era	DAT	SUP.EL	XY	DAT_SUP.EL		rasul-u-s gič’e-r=a tɨlɨja-la	PN-OBL-DAT fear.IPFV-CVB=be dog.OBL(SUP)-EL	‘Rasul is afraid of the dog.’	PN-OBL-DAT бояться.IPFV-CVB=быть собака.OBL(SUP)-EL	‘Расул боится собаки.’	
68	Rutul	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	χač’ibχɨr	ERG	NOM	TR	TR		rasul-a dahar χa-č’-i<b>χɨ-r	PN-ERG rock(NOM) PV-PV-<3>throw.PFV-CVB	‘Rasul threw a stone.’	PN-ERG камень(NOM) PV-PV-<3>бросить.PFV-CVB	‘Расул бросил камень.’	
68	Rutul	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	ʁejq’ara	DAT	NOM	X	DAT_NOM		rasul-u-s šiɁi-bɨr ʁe-jq’a-r=a	PN-OBL-DAT money-PL(NOM) PV-NPL.be.enough.IPFV-CVB=be	‘Rasul has enough money.’	PN-OBL-DAT деньги-PL(NOM) PV-NPL.быть.достаточно.IPFV-CVB=быть	‘Расулу хватает денег.’	
68	Rutul	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	kikara	NOM	INTER	Y	NOM_INTER		rasul k-ika-r=a ramazan-ɨ-k	PN(NOM) PV-1.be.similar.IPFV-CVB=be PN-OBL-INTER	‘Rasul resembles Ramazan.’	PN(NOM) PV-1.быть.похожим.IPFV-CVB=быть PN-OBL-INTER	‘Расул похож на Рамазана.’	
68	Rutul	7	believe	X (believe) Y	верить	X (верить)Y-у	inamiš jiʔi	NOM	SUP	Y	NOM_SUP	Non-verbal predicate.	rasul inamiš jiʔi ramazan-ɨ	PN(NOM) believe 1.COP PN-OBL(SUP)	‘Rasul believes Ramazan.’	PN(NOM) верить 1.COP PN-OBL(SUP)	‘Расул верит Рамазану.’	NV
68	Rutul	8	take	X (take) Y	взять	X (брать) Y(-а)	lešur	ERG	NOM	TR	TR		rasul-a l-ešu-r kitab	PN-ERG PV-1.take.PFV-CVB book(NOM)	‘Rasul took a book.’	PN-ERG PV-1.взять.PFV-CVB книга(NOM)	‘Расул взял книгу.’	
68	Rutul	9	see	X (see) Y	видеть	X (видеть) Y(-а)	ʁargᵂara	DAT	NOM	X	DAT_NOM		rasul-u-s ʁ-argᵂa-r=a χal	PN-OBL-DAT PV-4.see.IPFV-CVB=be house(NOM)	‘Rasul sees a house.’	PN-OBL-DAT PV-4.видеть.IPFV-CVB=быть дом(NOM)	‘Расул видит дом.’	Тот же глагол, что 11
68	Rutul	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	ʁaqʷargʷardiš	*	*	*		Not included in the dataset because the translation deviates too far from the stimulus sentence.	q’aˁs-wol-i-kan išɨʁ ʁa-qʷ-argʷa-r-diš	old-ABSTR-OBL-COM light PV-RE-4.see.IPFV-CVB-NEG	‘With age, one becomes unable to see the light.’	старый-ABSTR-OBL-COM свет PV-RE-4.видеть.IPFV-CVB-NEG	‘Со старостью свет не вижу.’	Нет эквивалента
68	Rutul	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	giˁχɨˁr	DAT	NOM	X	DAT_NOM		rasul-u-s ramazan giˁ-χɨˁ-r	PN-OBL-DAT PN(NOM) PV-1.meet.PFV-CVB	‘Rasul ran into Ramazan.’	PN-OBL-DAT PN(NOM) PV-1.встретить.PFV-CVB	‘Расул встретился с Рамазаном.’	
68	Rutul	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	eč’ura	NOM	IN	Y	NOM_IN		rasul χal-a eč’u-r=a	PN(NOM) house-IN PV.1.enter.PFV-CVB=be	‘Rasul entered the house.’	PN(NOM) дом-IN PV.1.войти.PFV-CVB=быть	‘Расул вошёл в дом.’	
68	Rutul	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	libt’ɨra	ERG	SUP	Y	ERG_SUP		rasul-a l-i<b>t’ɨ-r=a ramazan-ɨ	PN-ERG PV-<3>win.PFV-CVB=be PN-OBL(SUP)	‘Rasul beat Ramazan.’	PN-ERG PV-<3>выиграть.PFV-CVB=быть PN-OBL(SUP)	‘Расул выиграл у Рамазана.’	
68	Rutul	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	ʁaɁ haˁrχɨˁr	NOM	IN.EL	Y	NOM_IN.EL		rasul χal-a: ʁaɁ haˁ<r>χɨˁ-r	PN(NOM) house-IN.EL outside.LAT <1>leave.PFV-CVB	‘Rasul went out of the house.’	PN(NOM) дом-IN.EL наружа.LAT <1>выйти.PFV-CVB	‘Расул вышел из дома.’	
68	Rutul	15	drive	X (drive) Y	гнать	X (гнать) Y-а	hiwirgara	ERG	NOM	TR	TR		rasul-a zer hi-w-irga-r=a	PN-ERG cow(NOM) PV-3-drive.IPFV-CVB=be	‘Rasul is driving the cow.’	PN-ERG корова(NOM) PV-3-гнать.IPFV-CVB=быть	‘Расул гонит корову.’	
