language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
36	Serbian	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	boleti	ACC	NOM	X	ACC_NOM		Petr-a boli glav-a	PN-ACC.SG ache.PRS.3SG head-NOM.SG	‘Petar has a headache.’	PN-ACC.SG болеть.PRS.3SG голова-NOM.SG	‘У Петара болит голова.’		боли	Петр-а боли глав-а
36	Serbian	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	imati	NOM	ACC	TR	TR		Petar ima grip	PN.NOM.SG have.PRS.3SG flu.ACC.SG	‘Petar has the flu.’	PN.NOM.SG иметь.PRS.3SG грипп.ACC.SG	‘Петар болеет гриппом.’	This is literally 'to have'	има	Петар има грип
36	Serbian	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	plašiti se	NOM	GEN	Y	NOM_GEN		Petar se plaši ps-a	PN.NOM.SG REFL frighten.PRS.3SG dog-GEN.SG	‘Petar is afraid of the dog.’	PN.NOM.SG REFL пугать.PRS.3SG собака-GEN.SG	‘Петар боится собаки.’	REFL	плаше се	Петар се плаши пс-а
36	Serbian	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	baciti	NOM	ACC	TR	TR		Petar je baci-o kamen	PN.NOM.SG be.PRS.3SG throw-PART.PERF.M.SG stone.ACC.SG	‘Petar threw a stone.’	PN.NOM.SG быть.PRS.3SG бросать-PART.PERF.M.SG камень.ACC.SG	‘Петар бросил камень.’		баци	Петар је баци-о камен
36	Serbian	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	imati dovoljno	*	*	*		Not included in the database because the intended meaning is expressed by a structurally discontinuous combination (predicate + NP-internal component).	Petar ima dovoljno novc-a	PN.NOM.SG have.PRS.3SG enough money-GEN.SG	‘Petar has enough money.’	PN.NOM.SG иметь.PRS.3SG достаточно деньги-GEN.SG	‘У Петара достаточно денег.’		има доволно	Петар има довољно новц-а
36	Serbian	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	ličiti	NOM	naACC	Y	NOM_naACC		Petar liči na Marij-u	PN.NOM.SG resemble.PRS.3SG on PN-ACC.SG	‘Petar resembles Maria.’	PN.NOM.SG быть_похожим.PRS.3SG на PN-ACC.SG	‘Петар похож на Марию.’		личи	Петар личи на Мариј-у
36	Serbian	7	believe	X (believe) Y	верить	X (верить)Y-у	verovati	NOM	DAT	Y	NOM_DAT		Petar veruje Marij-i	PN.NOM.SG believe.PRS.3SG PN-DAT.SG	‘Petar believes Maria.’	PN.NOM.SG верить.PRS.3SG PN-DAT.SG	‘Петар верит Марии.’		веруjе	Петар верује Мариј-и
36	Serbian	8	take	X (take) Y	взять	X (брать) Y(-а)	uzeti	NOM	ACC	TR	TR		Petar je uze-o knjig-u	PN.NOM.SG be.PRS.3SG take-PART.PERF.M.SG book-ACC.SG	‘Petar took a book.’	PN.NOM.SG быть.PRS.3SG взять-PART.PERF.M.SG книга-ACC.SG	‘Петар взял книгу.’		узео	Петар је узе-о књиг-у
36	Serbian	9	see	X (see) Y	видеть	X (видеть) Y(-а)	videti	NOM	ACC	TR	TR		Petar vidi kuć-u	PN.NOM.SG see.PRS.3SG house-ACC.SG	‘Petar sees a house.’	PN.NOM.SG видеть.PRS.3SG дом-ACC.SG	‘Петар видит дом.’		види	Петар види кућ-у
36	Serbian	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	uticati	NOM	naACC	Y	NOM_naACC		uzrast utiče na pamćenj-e	age.NOM.SG influence.PRS.3SG on memory-ACC.SG	‘Age influences memory.’	возраст.NOM.SG влиять.PRS.3SG на память-ACC.SG	‘Возраст влияет на пямять.’		утичи	узраст утиче на памћењ-е
36	Serbian	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	sresti	NOM	ACC	TR	TR		Petar je sre-o Marij-u	PN.NOM.SG be.PRS.3SG meet.PART.PERF.M.SG PN-ACC.SG	‘Petar encountered Maria.’	PN.NOM.SG быть.PRS.3SG встретить.PART.PERF.M.SG PN-ACC.SG	‘Петар встретил Марию.’		срео	Петар је сре-о Мариј-у
36	Serbian	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	ući	NOM	uACC	Y	NOM_uACC		Petar je uša-o u kuć-u	PN.NOM.SG be.PRS.3SG enter-PART.PERF.M.SG in house-ACC.SG	‘Petar entered the house.’	PN.NOM.SG быть.PRS.3SG войти-PART.PERF.M.SG в дом-ACC.SG	‘Петар вошел в дом.’		ушао	Петар је уша-о у кућ-у
36	Serbian	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	pobediti	NOM	ACC	TR	TR		Petar je pobedi-o Marij-u	PN.NOM.SG be.PRS.3SG win-PART.PERF.M.SG PN-ACC.SG	‘Petar beat Maria.’	PN.NOM.SG быть.PRS.3SG победить-PART.PERF.M.SG PN-ACC.SG	‘Петар выиграл у Марии.’		победио	Петар је победи-о Мариј-у
36	Serbian	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	izaći	NOM	izGEN	Y	NOM_izGEN		Petar je izaša-o iz kuć-e	PN.NOM.SG be.PRS.3SG go.out-PART.PERF.M.SG from house-GEN.SG	‘Petar went out of the house.’	PN.NOM.SG быть.PRS.3SG выйти-PART.PERF.M.SG из дом-GEN.SG	‘Петар вышел из дома.’		изашао	Петар је изаша-о из кућ-е
36	Serbian	15	drive	X (drive) Y	гнать	X (гнать) Y-а	terati	NOM	ACC	TR	TR		Petar tera krav-u	PN.NOM.SG drive.PRS.3SG cow-ACC.SG	‘Petar is driving the cow.’	PN.NOM.SG гнать.PRS.3SG корова-ACC.SG	‘Петар гонит корову.’		тера	Петар тера крав-у
36	Serbian	16	bend	X (bend) Y	гнуть	X (гнуть) Y	saviti	NOM	ACC	TR	TR		Petar je savi-o gran-u	PN.NOM.SG be.PRS.3SG bend-PART.PERF.M.SG branch-ACC.SG	‘Petar bent the branch.’	PN.NOM.SG быть.PRS.3SG согнуть-PART.PERF.M.SG ветка-ACC.SG	‘Петар согнул ветку.’		савио	Петар је сави-о гран-у
36	Serbian	17	tell	X (tell) Y	говорить	X (говорить) Y-у	reći	NOM	DAT	Y	NOM_DAT		Petar je reka-o Marij-i	PN.NOM.SG be.PRS.3SG tell-PART.PERF.M.SG PN-DAT.SG	‘Petar told Maria.’	PN.NOM.SG быть.PRS.3SG сказать-PART.PERF.M.SG PN-DAT.SG	‘Петар сказал Марии.’		рекао	Петар је река-о Мариј-и
36	Serbian	18	hold	X (hold)Y	держать	X (держать) Y(-а)	držati	NOM	ACC	TR	TR		Petar drži knjig-u	PN.NOM.SG hold.PRS.3SG book-ACC.SG	‘Petar is holding a book.’	PN.NOM.SG держать.PRS.3SG книга-ACC.SG	‘Петар держит книгу.’		држи	Петар држи књиг-у
36	Serbian	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	stići	NOM	ACC	TR	TR		Petar je stiga-o Marij-u	PN.NOM.SG be.PRS.3SG catch.up-PART.PERF.M.SG PN-ACC.SG	‘Petar caught up with Maria.’	PN.NOM.SG быть.PRS.3SG догнать-PART.PERF.M.SG PN-ACC.SG	‘Петар догнал Марию.’	Same verb as in 21, different pattern	стигао	Петар је стига-о Мариј-у
36	Serbian	20	milk	X (milk) Y	доить	X (доить) Y-а	pomusti	NOM	ACC	TR	TR		Petar je pomuza-o krav-u	PN.NOM.SG be.PRS.3SG milk-PART.PERF.M.SG cow-ACC.SG	‘Petar milked the cow.’	PN.NOM.SG быть.PRS.3SG подоить-PART.PERF.M.SG корова-ACC.SG	‘Петар подоил корову.’		помузао	Петар је помуза-о крав-у
36	Serbian	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 	stići	NOM	doGEN	Y	NOM_doGEN		Petar je stiga-o do obal-e	PN.NOM.SG be.PRS.3SG reach-PART.PERF.M.SG up.to bank-GEN.SG.F	‘Petar reached the bank.’	PN.NOM.SG быть.PRS.3SG достичь-PART.PERF.M.SG до берег-GEN.SG.F	‘Петар достиг берега.’	Same verb as in 19, different pattern	стигао	Петар је стига-о до обал-е
36	Serbian	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а	dodirnuti	NOM	ACC	TR	TR		Petar je dodirnu-o zid	PN.NOM.SG be.PRS.3SG touch-PART.PERF.M.SG wall.ACC.SG	‘Petar touched the wall.’	PN.NOM.SG быть.PRS.3SG дотронуться-PART.PERF.M.SG стена.ACC.SG	‘Петар дотронулся до стены.’		додирнуо	Петар је додирну-о зид
36	Serbian	23	fight	X (fight) with Y	драться	X (драться) с Y-ом	tucati se	NOM	sINS	Y	NOM_sINS		Petar se tuče sa Mark-om	PN.NOM.SG REFL hit.PRS.3SG with PN-INS.SG	‘Petar is fighting with Mark.’	PN.NOM.SG REFL бить.PRS.3SG с PN-INS.SG	‘Петар дерется с Марком.’	REFL. This preposition is sometimes sa (incl. here) and sometimes s.	тучи се	Петар се туче са Марком
36	Serbian	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом	družiti se	NOM	sINS	Y	NOM_sINS		Petar se druži sa Marij-om	PN.NOM.SG REFL be.friends.PRS.3SG with PN-INS.SG	‘Petar is friends with Maria.’	PN.NOM.SG REFL дружить.PRS.3SG с PN-INS.SG	‘Петар дружит с Марией.’	REFL. This preposition is sometimes sa (incl. here) and sometimes s.	дружи се	Петар се дружи са Мариј-ом
36	Serbian	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)	misliti	NOM	naACC	Y	NOM_naACC		Petar misli na Marij-u	PN.NOM.SG think.PRS.3SG on PN-ACC.SG	‘Petar is thinking about Maria.’	PN.NOM.SG думать.PRS.3SG на PN-ACC.SG	‘Петар думает о Марии.’	Alternative is NOM_oLOC: Петар мисли о Мариј-и [Петар.NOM думать.PRS.3SG o Мария-LOC]	мисли	Петар мисли на Мариј-у
36	Serbian	26	eat	X (eat) Y	есть	X (есть) Y	pojesti	NOM	ACC	TR	TR		Petar je poje-o jabuk-u	PN.NOM.SG be.PRS.3SG eat-PART.PERF.M.SG apple-ACC.SG	‘Petar ate an apple.’	PN.NOM.SG быть.PRS.3SG съесть-PART.PERF.M.SG яблоко-ACC.SG	‘Петар съел яблоко.’		поjео	Петар је поје-о јабук-у
36	Serbian	27	fry	X (fry) Y	жарить	X (жарить) Y	ispržiti	NOM	ACC	TR	TR		Petar je isprži-o rib-u	PN.NOM.SG be.PRS.3SG fry-PART.PERF.M.SG fish-ACC.SG	‘Petar fried the fish.’	PN.NOM.SG быть.PRS.3SG пожарить-PART.PERF.M.SG рыба-ACC.SG	‘Петар пожарил рыбу.’		испржио	Петар је испржи-о риб-у
36	Serbian	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)	čekati	NOM	ACC	TR	TR		Petar čeka Marij-u	PN.NOM.SG wait.PRS.3SG PN-ACC.SG	‘Petar is waiting for Maria.’	PN.NOM.SG ждать.PRS.3SG PN-ACC.SG	‘Петар ждет Марию.’		чека	Петар чека Мариј-у
36	Serbian	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е	zaboraviti	NOM	naACC	Y	NOM_naACC		Petar je zaboravi-o na drug-i put	PN.NOM.SG be.PRS.3SG forget-PART.PERF.M.SG on other-ACC.SG.M road.ACC.SG	‘Petar forgot about the other road.’	PN.NOM.SG быть.PRS.3SG забыть-PART.PERF.M.SG на другой-ACC.SG.M дорога.ACC.SG	‘Петар забыл о другой дороге.’		заборавио	Петар је заборави-о на друг-и пут
