language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
139	Tswana	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	bolawa	SBJ	ke	Y	SBJ_ke		ke-bola-w-a ke Ø-tlhogo	sI:1SG-kill-PASS-FV by SG-head(9)	‘I have a headache,’ lit. ‘I am killed by the head.’			PASS. Ke is the preposition used to flag agent phrases, its etymology is the grammaticalization of a copula. Bolawa derives from bolaya lit. ‘kill’ via passive derivation. Alternative is the same construction with the verb opelwa, derived from opa ‘ache’ via applicative + passive derivation: opa ‘ache’ (intr.) + APPL> opela ‘ache for someone’ (tr.) + PASS > opelwa ‘be a person for whom some bodypart aches’ (intr.). Cf. “Ke opelwa ke tlhogo” = “ke-op-el-w-a ke Ø-tlhogo” [sI:1SG-ache.APPL-PASS-FV by SG-head(9)] ‘I have a headache.’ lit. ‘I am ached.for by the head.’		Ke bolawa ke tlhogo.
139	Tswana	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	tsenwa	SBJ	ke	Y	SBJ_ke		o-ka-tsen-w-a ke bo-lwetse jo	sI:2SG-POT-enter.PASS by SG-illness(14) cl14.DEM	‘You might catch this illness.’ lit. ‘You might be entered by this illness.’			PASS. Tsenwa derives from tsena ‘enter’ via passive derivation.		O ka tsenwa ke bolwetse jo.
139	Tswana	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	tshaba	SBJ	DO	TR	TR		ngw-ana o-tshab-a Ø-ntša	SG-child(1) sI:cl1-fear-FV SG-dog(9)	‘The child is afraid of the dog.’			The verb tshaba is also used intransitively with the meaning ‘run away’. Cf. “Legodu le tshabile.” = “le-godu le-tshab-il-e” [SG-thief(5) sI:cl5-run.away-PRF-FV] ‘The thief ran away.’		Ngwana o tshaba ntša.
139	Tswana	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	latlha	SBJ	DO	TR	TR		ngw-ana o-latlh-il-e le-tlapa	SG-child(1) sI:cl1-throw-PRF-FV SG-stone(5)	‘The child threw a stone.’			Same as 86. The same verb in the same construction can also mean ‘abandon’, depending on the nature of the object, cf. “Kitso o latlhile mosadi wa gagwe.” = “Kitso o-latlh-il-e mo-sadi wa-gagwe” [PRN(1) sI:cl1-throw-PRF-FV SG-woman(1) cl1.GEN-cl1.PRO] ‘Kitso abandoned his wife.’		Ngwana o latlhile letlapa.
139	Tswana	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	lekana	DO	SBJ	X	DO_SBJ		ma-di a-a-n-tekan-a	PL-money(6) sI:cl6-DJ-oI:1SG-suffice-FV	‘I have enough money.’ lit. ‘The money suffices (for) me.’			The verb lekana (which also means ‘suit’) is used intransitively with a plural subject means ‘be equal’, ‘be equivalent’. Cf. “Re a lekana” = “re-a-lekan-a” [sI:1PL-DJ-be.equal-FV] ‘We are equal.’		Madi a a ntekana
139	Tswana	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	tshwana	SBJ	le	Y	SBJ_le		ngw-ana o-tshwan-a le-Ø-rra-agwe	SG-child(1) sI:cl1-resemble-FV COM-SG-father-adpI:cl1	‘The child resembles his father.’			le is a comitative proclitic, also used for noun coordination (‘and’). This coding frame is general for the bivalent verbs whose arguments can be switched without changing the denotative meaning, cf. also (11), (23), (24), (32), (64), (94), (98).		Ngwana o tshwana le rraagwe.
139	Tswana	7	believe	X (believe) Y	верить	X (верить)Y-у	dumela	SBJ	DO	TR	TR		ke-a-go-dumel-a	sI:1SG-DJ-oI:2SG-believe-FV	‘I believe you.’			This verb can also mean ‘accept’, cf.: “Puso e tlaa dumela kopo ya motse.” = “Ø-puso e-tlaa-dumel-a Ø-kopo ya-mo-tse” [SG-government(9) sI:cl9-FUT-accept-FV SG-request(9) cl9.GEN-SG-village(3)] ‘The government will accept the request of the village.’		Ke a go dumela.
139	Tswana	8	take	X (take) Y	взять	X (брать) Y(-а)	tsaya	SBJ	DO	TR	TR		ke-tser-e Ø-buka mo Ø-tafole-ng	sI:1SG-take.PRF-FV SG-book(9) LOC2 SG-table(9)-LOC	‘I took the book from the table.’			The verb tsaya is transitive. It has an irregular perfect form: tsere.		Ke tsere buka mo tafoleng.
139	Tswana	9	see	X (see) Y	видеть	X (видеть) Y(-а)	bona	SBJ	DO	TR	TR		ke-bony-e Kitso ko Ø-toropo-ng	sI:1SG-see.PRF-FV PRN(1) LOC1 SG-town(9)-LOC	‘I saw Kitso in twon.’			Same as 55. This is a transitive construction with the perceiver in subject role.		Ke bonye Kitso ko toropong.
139	Tswana	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	ama	SBJ	DO	TR	TR		di-ngwaga di-ama Ø-kgakologelo	PL-year(8/10) sI:cl8/10-affect SG-memory(9)	‘Age affects memory.’			Same as 22. This is a transitive construction.		Dignwaga di ama kgakologelo.
139	Tswana	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	kopana	SBJ	le	Y	SBJ_le		ke-kopan-e le-Kitso mo m-mile-ng	sI:1SG-meet-FV COM-PRN(1) LOC2 SG-street(3)-LOC	‘I met Kitso in the street.’			This is the intransitive construction commonly found with the bivalent verbs that can switch their arguments without changing the denotative meaning.		Ke kopane le Kitso mo mmileng.
139	Tswana	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	tsena	SBJ	mo	Y	SBJ_mo		Ø-noga e-tseny-e mo mo-sime-ng	SG-snake(9) sI:cl9-enter.PRF-FV LOC2 SG-hole(3)-LOC	‘The snake went into the hole.’			This is an intransitive construction.		Noga e tsenye mo mosimeng.
139	Tswana	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	fenya	SBJ	DO	TR	TR		ke-fen-ts-e Kitso mo lo-belo-ng	sI:1SG-beat-PRF-FV PRN LOC2 SG-race(11)-LOC	‘I beat Kitso in the race.’			fenya ‘defeat, beat’ is transitive.		Ke fentse Kitso mo lobelong.
139	Tswana	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	tswa	SBJ	mo	Y	SBJ_mo		mo-nna o-du-l-e mo Ø-koloi-ng	SG-man(1) sI:cl1-go.out-PRF-FV LOC2 SG-car(9)-LOC	‘The man got out of the car.’			This is an intransitive construction. The perfect of tswa (dule) is irregular.		Monna o dule mo koloing.
139	Tswana	15	drive	X (drive) Y	гнать	X (гнать) Y-а	kgweetsa	SBJ	DO	TR	TR		ke-kgweed-its-e di-kgomo ko le-sake-ng	sI:1SG-drive-PRF-FV PL-cow(8/10) LOC1 SG-kraal(5)-LOC	‘I drove the cows to the kraal.’			The verb kgweetsa is a transitive verb whose general meaning is ‘drive’.		Ke kgweeditse dikgomo ko lesakeng.
139	Tswana	16	bend	X (bend) Y	гнуть	X (гнуть) Y	koba	SBJ	DO	TR	TR		ke-kob-il-e Ø-kala	sI:1SG-bend-PRF-FV SG-branch(9)	‘I bent the branch’			The verb koba ‘bend’ is transitive.		Ke kobile kala.
139	Tswana	17	tell	X (tell) Y	говорить	X (говорить) Y-у	bolelela	SBJ	DO	TR	TR		o-m-polel-ets-e gore ngw-ana o-bu-il-e ma-aka	sI:cl1-oI:1SG-tell-APPL.PRF-FV that SG-child(1) sI:cl1-tell-PRF-FV PL-lie(6)	‘S/he told me that the child was lying.’			Tswana has a quotative verb re ‘say’ that introduces reported utterances but is incompatible with the expression of the addressee. Its infinitive gore is used as a complementizer with the other verbs of speech. bolelela and its synonym raya are transitive verbs whose object represents the addressee. bolelela is the applicative form of bolela ‘tell’. Alternative is the same construction with raya. “O ntheile gore ngwana o buile maaka.” = “o-n-the-il-e gore ngw-ana o-bu-il-e ma-aka” [sI:cl1-oI:1SG-tell-PRF-FV that SG-child(1) sI:cl1-tell-PRF-FV PL-lie(6)] ‘S/he told me that the child was lying.’. raya is probably cognate with the quotative verb re, but there is no regular morphological process that could derive raya from re.		O mpoleletse gore ngwana o buile maaka.
139	Tswana	18	hold	X (hold)Y	держать	X (держать) Y(-а)	tshwere	SBJ	DO	TR	TR		ngw-ana o-tshwer-e Ø-buka ka di-atla	SG-child(1) sI:cl1-catch.PRF-FV SG-book(9) INS PL-hand(8/10)	‘The child is holding a book in his hands.’			In Tswana, ‘hold’ is expressed as the perfect of the transitive verb tshwara ‘catch’. ka is an instrumental preposition.		Ngwana o tshwere buka ka diatla.
139	Tswana	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	tshwara	SBJ	DO	TR	TR		o-n-tshwer-e mo Ø-tsele-ng	sI:cl1-oI:1SGcatch.PRF-FV LOC2 SG-road(9)-LOC	‘S/he caught me up on the road.’			The general meaning of the transitive verb tshwara is ‘catch’, cf. also (18).		O ntshwere mo tseleng.
