language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal	verb_original_orthography	sentence_original_orthography
101	Yukaghir_Northern	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y		*	*	*		Not included in the database because X is expressed as an NP-internal modifier.	Сэмиэн йуо-ги йаw-л	PN голова-POSS.3 болеть-SF.3SG	‘У Семена болит голова.’			СС. Букв. ‘голова Семена болит’, глагол согласуется с «головой». СК. Показатель посессивности –ги также служит своего рода актуализатором, как фокус –лэҥ или –к. Как бы подчеркивается, что определенный процесс происходит именно с головой указанного лица. Между «Семеном» и «головой» ничего (например, «сегодня») вставить нельзя. 		
101	Yukaghir_Northern	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом		*	*	*		Not included in the database because Y is expressed as part of a nominal compound. 	Сэмиэн мэ хандьэ-р-льэ-нь 	PN AFF холод-PROP-EVID-INTR.3SG	‘Семен простудился.’ 			Букв. ‘Семен обзавелся холодом’. Аналогично (путем построения глагола, где название болезни выступает в качестве корня, а не в качестве самостоятельной именной группы), «скорее всего» можно построить предложения и с другими названиями болезней, например, просто «йуодьэр= ‘заболеть’ (букв. обзавелся болезнью). На юкагирском еще есть вариант Сэмиэн ньиҥиэйэгуурэй, что буквально значит ‘Семен кашлем обзавелся’. Ньиҥиэйэгууньэ= ‘заиметь кашель; простудиться, получить простудное заболевание’».		
101	Yukaghir_Northern	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а		NOM	ACC	TR	TR		Сэмиэн лаамэ-лэ иҥиэ-м	PN собака-ACC бояться-TR.3SG	‘Семен боится собаку.’					
101	Yukaghir_Northern	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)		NOM	ACC	TR	TR		Сэмиэн хайль-лэ суусэ-й-м	PN камень-ACC бросить-PF-TR.3SG	‘Семен бросил камень.’					
101	Yukaghir_Northern	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а		*	*	*		Not included in the database because Y is expressed as an NP-internal modifier. 	Сэмиэн ньааwэ-й кирпиичэ-ги көди-нь-гурчи-ч	PN быть.белым-PTCL кирпич-POSS.3 человек-DAT-стать-INTR.3SG	‘Белых кирпичей у Семена достаточно.’			Lit. ‘Semen’s white bricks are sufficient’. Alternative is “Сэмиэн мэ поҕодэ-нь-и” [PN AFF деньги-PROP-INTR.3SG]. ‘У Семена хватает денег’. СК. Букв. у Семена есть деньги, это скорее констатация факта, что у Семена есть деньги, а не то, что ему этих денег хватает. 		
101	Yukaghir_Northern	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)		NOM	langudeng	Y	NOM_langudeng		Сэмиэн Экульэ ла-ҥудэ бан-и	PN PN сторона-DIR быть-INTR.3SG	‘Семен похож на Акулину.’ 			ла-ҥудэ -- производный послелог. Its default shape is ла-ҥудэҥ, where the final consonant is ultimately the FC marker (see 101), but sometimes it is dropped, as here.  Букв. Семен на стороне Акулины.		
101	Yukaghir_Northern	7	believe	X (believe) Y	верить	X (верить)Y-у		NOM	ACC	TR	TR		Сэмиэн Экульэ-ҕанэ мэр эwиэ-м	PN PN-ACC AFF верить-TR.3SG	‘Семен верит Акулине.’					
101	Yukaghir_Northern	8	take	X (take) Y	взять	X (брать) Y(-а)		NOM	ACC	TR	TR		Сэмиэн кинигэ-лэ мэнь-мэ-лэ	PN книга-ACC брать-TR-OF.3SG	‘Семен взял книгу.’					
101	Yukaghir_Northern	9	see	X (see) Y	видеть	X (видеть) Y(-а)		NOM	ACC	TR	TR		Сэмиэн нимэ-лэ йуо-мэ-лэ	PN дом-ACC видеть-TR-OF.3SG	‘Семен увидел дом.’					
101	Yukaghir_Northern	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)		NOM	ABL	Y	NOM_ABL		лэйрии-л сукунмольҕал-ҕат пара-ньэ-й	помнить-NLZR год-ABL корень-PROP-INTR.3SG	‘Возраст влияет на память.’			СК. «Букв. память зависит от возраста.» СК. по словарю Курилова Г.Н.: сукунмольҕал.		
