language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
40	Ingush	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y												
40	Ingush	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом												
40	Ingush	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а					NOMLAT							
40	Ingush	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)					TR							
40	Ingush	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а					DATNOM							
40	Ingush	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)					NOMLAT							
40	Ingush	7	believe	X (believe) Y	верить	X (верить)Y-у					NOMLAT							
40	Ingush	8	take	X (take) Y	взять	X (брать) Y(-а)					TR							
40	Ingush	9	see	X (see) Y	видеть	X (видеть) Y(-а)					DATNOM							
40	Ingush	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)					ERGDAT							
40	Ingush	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом					NOMLAT							
40	Ingush	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)												
40	Ingush	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а												
40	Ingush	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а												
40	Ingush	15	drive	X (drive) Y	гнать	X (гнать) Y-а					TR							
40	Ingush	16	bend	X (bend) Y	гнуть	X (гнуть) Y					TR							
40	Ingush	17	tell	X (tell) Y	говорить	X (говорить) Y-у					ERGALL							
40	Ingush	18	hold	X (hold)Y	держать	X (держать) Y(-а)					TR							
40	Ingush	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)					NOMDAT							
40	Ingush	20	milk	X (milk) Y	доить	X (доить) Y-а					TR							
40	Ingush	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 												
40	Ingush	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а					NOM LAT							
40	Ingush	23	fight	X (fight) with Y	драться	X (драться) с Y-ом												
40	Ingush	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом												
40	Ingush	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)					ERGLAT							
40	Ingush	26	eat	X (eat) Y	есть	X (есть) Y					TR							
40	Ingush	27	fry	X (fry) Y	жарить	X (жарить) Y					TR							
40	Ingush	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)					NOMALL							
40	Ingush	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е					DATNOM							
40	Ingush	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а												
40	Ingush	31	call	X (call) Y	звать	X (звать) Y-а					TR							
40	Ingush	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом					DATNOM							
40	Ingush	33	know	X (know) Y	знать 	X (знать) Y-а					DATNOM							
40	Ingush	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е					TR							
40	Ingush	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а					NOMLAT							
40	Ingush	36	make	X (make) Y	изготовить	X (изготовить) Y					TR							
40	Ingush	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом					ERGDAT							
40	Ingush	38	have	X (have) Y	иметь	X (иметь) Y					GENNOM							
40	Ingush	39	look_for	X (look for) Y	искать	X (искать) Y(-а)					TR							
40	Ingush	40	paint	X (paint) Y	красить	X (красить) Y					ERGDAT							
40	Ingush	41	bite	X (bite) Y	кусать	X (кусать) Y-а					ERGDAT							
40	Ingush	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а												
40	Ingush	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)					TR							
40	Ingush	44	break	X (break) Y	ломать	X (ломать) Y					TR							
40	Ingush	45	flatter	X (flatter) Y	льстить	X (льстить) Y-у					TR							
