language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
19	Loma	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y					POSS_HEAD							
19	Loma	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом					ma_S							
19	Loma	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а					S_ba							
19	Loma	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)					TR							
19	Loma	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а												
19	Loma	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)					S_ga							
19	Loma	7	believe	X (believe) Y	верить	X (верить)Y-у					S_ya							
19	Loma	8	take	X (take) Y	взять	X (брать) Y(-а)					TR							
19	Loma	9	see	X (see) Y	видеть	X (видеть) Y(-а)					TR							
19	Loma	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)												
19	Loma	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом					TR							
19	Loma	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)												
19	Loma	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а												
19	Loma	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а												
19	Loma	15	drive	X (drive) Y	гнать	X (гнать) Y-а					TR							
19	Loma	16	bend	X (bend) Y	гнуть	X (гнуть) Y					TR							
19	Loma	17	tell	X (tell) Y	говорить	X (говорить) Y-у					S_ma							
19	Loma	18	hold	X (hold)Y	держать	X (держать) Y(-а)					TR							
19	Loma	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)					TR							
19	Loma	20	milk	X (milk) Y	доить	X (доить) Y-а					TR							
19	Loma	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 												
19	Loma	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а					S_ba							
19	Loma	23	fight	X (fight) with Y	драться	X (драться) с Y-ом					S_ga							
19	Loma	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом												
19	Loma	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)					S_su							
19	Loma	26	eat	X (eat) Y	есть	X (есть) Y					TR							
19	Loma	27	fry	X (fry) Y	жарить	X (жарить) Y					TR							
19	Loma	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)					TR							
19	Loma	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е					S_ma							
19	Loma	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а												
19	Loma	31	call	X (call) Y	звать	X (звать) Y-а					TR							
19	Loma	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом					TR							
19	Loma	33	know	X (know) Y	знать 	X (знать) Y-а					TR							
19	Loma	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е					TR							
19	Loma	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а					TR							
19	Loma	36	make	X (make) Y	изготовить	X (изготовить) Y					TR							
19	Loma	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом					S_zu							
19	Loma	38	have	X (have) Y	иметь	X (иметь) Y					ya_S							
19	Loma	39	look_for	X (look for) Y	искать	X (искать) Y(-а)					TR							
19	Loma	40	paint	X (paint) Y	красить	X (красить) Y					TR							
19	Loma	41	bite	X (bite) Y	кусать	X (кусать) Y-а					TR							
19	Loma	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а					S_ma							
19	Loma	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)					TR							
19	Loma	44	break	X (break) Y	ломать	X (ломать) Y					TR							
19	Loma	45	flatter	X (flatter) Y	льстить	X (льстить) Y-у												
19	Loma	46	love1	X (love) Y	любить-1	X (любить) Y-а (сына)					be_S							
19	Loma	47	wave	X (wave) Y	махать	X (махать) Y-ом					TR							
19	Loma	48	dream	X (dream) of Y	мечтать	X (мечтать) об Y-е												
19	Loma	49	wash	X (wash) Y	мыть	X (мыть) Y					TR							
19	Loma	50	put_on	X (put_on) Y	надевать	X (надевать) Y					TR							
19	Loma	51	be_called	X (be_called) Y	называться	X (называться) Y												
19	Loma	52	punish	X (punish) Y	наказывать	X (наказывать) Y-а					S_ma							
19	Loma	53	attack	X (attack) Y	напасть	X (нападать) на Y-а					TR							
19	Loma	54	fill#intr#	X (fill) with Y	наполняться	X (наполняться) Y-ом					S_ga							
19	Loma	55	find	X (find) Y	находить	X (находить) Y(-а)					TR							
19	Loma	56	be_short	X (be short) Y	недоставать	X-у (недоставать) Y-a												
19	Loma	57	hate	X (hate) Y	ненавидеть	X (ненавидеть) Y-а					TR							
19	Loma	58	like	X (like) Y	нравиться	X-у (нравиться) Y					S_be							
19	Loma	59	need	X (need) Y	нуждаться	X (нуждаться) в Y-е					S_ba							
19	Loma	60	surround	X (surround) Y	окружать	X (окружать) Y (стена город)												
19	Loma	61	remain	X (have) Y left	оставаться	у X-а (оставаться) Y					ya_S							
19	Loma	62	answer	X (answer) Y	отвечать	X (отвечать) Y-у					TR							
19	Loma	63	open	X (open) Y	открывать	X (открывать) Y					TR							
19	Loma	64	be_different	X (be different) from Y	отличаться	X (отличаться) от Y-а												
19	Loma	65	fall_behind	X (fall behind) Y	отстать	X (отставать) от Y-а					S_polu							
19	Loma	66	plough	X (plough) Y	пахать	X (пахать) Y					TR							
19	Loma	67	smell	X (smell) like / of Y	пахнуть	X (пахнуть) Y-ом												
