language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
45	Nanai	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	ənusi	POSS	NOM	X	POSS_NOM							Посессивная ИГ в позиции подлежащего
45	Nanai	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	ənusi	NOM	INS	Y	NOM_INS							
45	Nanai	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	ŋəələ(či)	NOM	INS	Y	NOM_INS							Периферийная вариативность с TR
45	Nanai	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	naŋgala-	NOM	OBL	TR	TR							
45	Nanai	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	ələ	DAT	NOM(NO.AGR)	XY	DAT_NOM(NO.AGR)							
45	Nanai	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	Y-mat bi-	NOM	mat	Y	NOM_mat							NV. Здесь суффикс на Y, глагол -- быть
45	Nanai	7	believe	X (believe) Y	верить	X (верить)Y-у	agda(ča)	NOM	OBL	TR	TR							
45	Nanai	8	take	X (take) Y	взять	X (брать) Y(-а)	ǯapa-	NOM	OBL	TR	TR							
45	Nanai	9	see	X (see) Y	видеть	X (видеть) Y(-а)	icə-	NOM	OBL	TR	TR							
45	Nanai	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	*	*	*	*								Эквивалента найти не удалось
45	Nanai	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	baači-	NOM	INS	Y	NOM_INS							
45	Nanai	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	ii(gu)-	NOM	DIR	Y	NOM_DIR							
45	Nanai	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	xətə-	NOM	OBL	TR	TR							
45	Nanai	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	niə-	NOM	ABL	Y	NOM_ABL							
45	Nanai	15	drive	X (drive) Y	гнать	X (гнать) Y-а	puŋiə-	NOM	OBL	TR	TR							
45	Nanai	16	bend	X (bend) Y	гнуть	X (гнуть) Y	uriəwən-	NOM	OBL	TR	TR							Каузативный глагол
45	Nanai	17	tell	X (tell) Y	говорить	X (говорить) Y-у	un-	NOM	DIR	Y	NOM_DIR							
45	Nanai	18	hold	X (hold)Y	держать	X (держать) Y(-а)	ǯapača-	NOM	OBL	TR	TR							
45	Nanai	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	xaŋpan-	NOM	OBL	TR	TR							
45	Nanai	20	milk	X (milk) Y	доить	X (доить) Y-а	siri-	NOM	OBL	TR	TR							
45	Nanai	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 	esi-	NOM	OBL	TR	TR							
45	Nanai	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а	toŋala-	NOM	OBL	TR	TR							Есть вариативность с NOM_LOC
45	Nanai	23	fight	X (fight) with Y	драться	X (драться) с Y-ом	sori(mači)-	NOM	INS	Y	NOM_INS							
45	Nanai	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом	andalača-	NOM	INS	Y	NOM_INS							
45	Nanai	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)	murči-	NOM	OBL	TR	TR							
45	Nanai	26	eat	X (eat) Y	есть	X (есть) Y	sea-	NOM	OBL	TR	TR							
45	Nanai	27	fry	X (fry) Y	жарить	X (жарить) Y	čero-	NOM	OBL	TR	TR							
45	Nanai	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)	xalači-	NOM	OBL	TR	TR							
45	Nanai	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е	oŋbo-	NOM	OBL	TR	TR							
45	Nanai	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а	zavisela-	NOM	ABL	Y	NOM_ABL							Видимо, не самая естественная конструкция, глагол заимствован
45	Nanai	31	call	X (call) Y	звать	X (звать) Y-а	xəə(r)si-	NOM	OBL	TR	TR							
45	Nanai	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом	takoali-	NOM	INS	Y	NOM_INS							
45	Nanai	33	know	X (know) Y	знать 	X (знать) Y-а	saa-	NOM	OBL	TR	TR							
45	Nanai	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е	kupi-	NOM	INS	Y	NOM_INS							
45	Nanai	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а	xoliači-	NOM	OBL	TR	TR							"Вариативность TR/ABL, есть междиалектная вариативность. В выбранном глаголе актуализирована простраственная семантика (""обходит стороной"")"
45	Nanai	36	make	X (make) Y	изготовить	X (изготовить) Y	aŋgo-	NOM	OBL	TR	TR							
45	Nanai	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом	siŋgərə-	NOM	OBL	TR	TR							
45	Nanai	38	have	X (have) Y	иметь	X (иметь) Y	bi-	DAT	NOM	X	DAT_NOM							Это глагол 'быть'
45	Nanai	39	look_for	X (look for) Y	искать	X (искать) Y(-а)	gələgu-	NOM	OBL	TR	TR							
45	Nanai	40	paint	X (paint) Y	красить	X (красить) Y	niulə-	NOM	OBL	TR	TR							
45	Nanai	41	bite	X (bite) Y	кусать	X (кусать) Y-а	səkpən-	NOM	OBL	TR	TR							
45	Nanai	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а	xuədə-	NOM	OBL	TR	TR							Буквально: терять
45	Nanai	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)	ǯapajča- 	NOM	OBL	TR	TR							Производный дезидеративный глагол
45	Nanai	44	break	X (break) Y	ломать	X (ломать) Y	bojali-	NOM	OBL	TR	TR							
45	Nanai	45	flatter	X (flatter) Y	льстить	X (льстить) Y-у	ojban-	*	*	*								Есть только отдаленные аналоги (ластиться)
45	Nanai	46	love1	X (love) Y	любить-1	X (любить) Y-а (сына)	uləsi-	NOM	OBL	TR	TR							
45	Nanai	47	wave	X (wave) Y	махать	X (махать) Y-ом	xarxi-	NOM	INS	Y	NOM_INS							
45	Nanai	48	dream	X (dream) of Y	мечтать	X (мечтать) об Y-е	murči-	NOM	OBL	TR	TR							Тот же глагол, что думать (25)
45	Nanai	49	wash	X (wash) Y	мыть	X (мыть) Y	selko-	NOM	OBL	TR	TR							
45	Nanai	50	put_on	X (put_on) Y	надевать	X (надевать) Y	tətu-	NOM	OBL	TR	TR							
45	Nanai	51	be_called	X (be_called) Y	называться	X (называться) Y	gərbiəsiu-	NOM	INS	Y	NOM_INS							"Конкурирует с более частотной конструкцией типа ""имя этого предмета -- компас"""
45	Nanai	52	punish	X (punish) Y	наказывать	X (наказывать) Y-а	kəsuli-	NOM	OBL	TR	TR							
45	Nanai	53	attack	X (attack) Y	напасть	X (нападать) на Y-а	xukču-	NOM	DIR	Y	NOM_DIR							
45	Nanai	54	fill#intr#	X (fill) with Y	наполняться	X (наполняться) Y-ом	teas o-	NOM	INS	Y	NOM_INS							NV. Буквально: становиться полным
45	Nanai	55	find	X (find) Y	находить	X (находить) Y(-а)	baogo-	NOM	OBL	TR	TR							Здесь есть суффикс репетитива. Без него тоже можно, тогда не выражено значение, что в результате поисков.
45	Nanai	56	be_short	X (be short) Y	недоставать	X-у (недоставать) Y-a	aoli-	DAT	NOM(NO.AGR)	XY	DAT_NOM(NO.AGR)							Там есть еще синонимичные глаголы с той же моделью. При выбранном глаголе возможна периферийная модель DAT-DAT, не учитываю ее.
45	Nanai	57	hate	X (hate) Y	ненавидеть	X (ненавидеть) Y-а	čiurisi	NOM	INS	Y	NOM_INS							Есть другой глагол, он TR
45	Nanai	58	like	X (like) Y	нравиться	X-у (нравиться) Y	ulə-	NOM	OBL	TR	TR							
45	Nanai	59	need	X (need) Y	нуждаться	X (нуждаться) в Y-е	gələ-	NOM	OBL	TR	TR							"Есть еще другие варианты перевода, модель NOM_INS, там значение скорее не ""нужно"", а ""испытывает трудности"""
45	Nanai	60	surround	X (surround) Y	окружать	X (окружать) Y (стена город)	elisi-	NOM	kendeli 	Y	NOM_kendeli							"Это буквально ""стены стоят вокруг города"""
45	Nanai	61	remain	X (have) Y left	оставаться	у X-а (оставаться) Y	osigo-	DAT	NOM	X	DAT_NOM							
45	Nanai	62	answer	X (answer) Y	отвечать	X (отвечать) Y-у	taodago-	NOM	DIR	Y	NOM_DIR							"Для части информантов этот глагол не подходит (значит только ""ответить на обиду""). Но у альтернативы та же модель управления"
45	Nanai	63	open	X (open) Y	открывать	X (открывать) Y	nixəli-	NOM	OBL	TR	TR							
45	Nanai	64	be_different	X (be different) from Y	отличаться	X (отличаться) от Y-а	xaŋisi(la) bi- 	NOM	ABL	Y	NOM_ABL							NV. Буквально: быть иным
45	Nanai	65	fall_behind	X (fall behind) Y	отстать	X (отставать) от Y-а	xamila dərəǯi- 	NOM	ABL	Y	NOM_ABL							NV. Букв. ‘позади оставаться’. Возможен также немаркированный падеж.
45	Nanai	66	plough	X (plough) Y	пахать	X (пахать) Y	anǯala-	NOM	OBL	TR	TR							
45	Nanai	67	smell	X (smell) like / of Y	пахнуть	X (пахнуть) Y-ом	*	*	*	*								Букв.: от рук [запах бензина] идет
45	Nanai	68	cross	X (cross) Y	пересечь	X (пересекать) Y (улицу) 	dao-	NOM	OBL	TR	TR							
45	Nanai	69	sing	X (sing) Y	петь	X (петь) Y	ǯari-	NOM	OBL	TR	TR							
45	Nanai	70	write	X (write) Y	писать	X (писать) Y	niru-	NOM	OBL	TR	TR							
45	Nanai	71	drink	X (drink) Y	пить	X (пить) Y	omi-	NOM	OBL	TR	TR							
45	Nanai	72	melt	X (melt) Y	плавить	X (плавить) Y	uumbuwən-	NOM	OBL	TR	TR							
45	Nanai	73	match	X (match) Y	подходить	X (подходить) к Y-у (пояс к платью)	ača-	NOM	DIR	Y	NOM_DIR							Есть еще другой глагол, но модель та же
45	Nanai	74	leave	X (leave) Y	покидать	X (покидать) Y(-а)	ənu- 	NOM	ABL	Y	NOM_ABL							
45	Nanai	75	cover	X (cover) Y	покрывать	X (покрывать) Y	dasi-	NOM	OBL	TR	TR							
45	Nanai	76	remember	X (remember) Y	помнить	X (помнить) Y-а	əǯəčə-	NOM	OBL	TR	TR							
45	Nanai	77	help	X (help) Y	помочь	X (помогать) Y-у	bələči-	NOM	DAT	Y	NOM_DAT							Есть вариативность с TR. 
45	Nanai	78	understand	X (understand) Y	понимать	X (понимать) Y	otoli-	NOM	OBL	TR	TR							
45	Nanai	79	hit#target#	X (hit) Y	попасть	X (попадать) в Y (молния в дом)	tojko-	NOM	OBL	TR	TR							Возможна еще модель NOM_DIR, NOM_DAT, NOM_LOC, но их все можно отклонить
45	Nanai	80	cut_oneself	X (cut oneself) with Y	порезаться	X (резаться) Y-ом	xaga-	NOM	INS	Y	NOM_INS							
45	Nanai	81	get_stuck	X (get stuck) to Y	прилипать	X (прилипать) к Y-у	lakto-	NOM	DIR	Y	NOM_DIR							
45	Nanai	82	lose#game#	X (lose) to Y	проиграть	X (проиграть) Y-у	pərə-	NOM	DAT	Y	NOM_DAT							
45	Nanai	83	be_glad	X (be glad) about Y	радоваться	X (радоваться) Y-у	agda-	NOM	DIR	Y	NOM_DIR							Судя по всему, наиболее естественно одноместное употребление этого глагола. Информант не уверен в модели управления
45	Nanai	84	speak	X (speak) with Y	разговаривать	X (разговаривать) с Y-ом	gusərəndu-	NOM	INS	Y	NOM_INS							
45	Nanai	85	give_birth	X (give birth) to Y	рожать	X (рожать) Y-а	baa-	NOM	OBL	TR	TR							"Букв. ""находить""; собственно родить существует, но он одноместный"
