language_no	language	predicate_no	predicate_label_en	argument_frame_en	predicate_label_ru	argument_frame_ru	verb	X	Y	locus	valency_pattern	comms	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comms_internal
1	Russian	1	feel_pain	X (have) Yache	болеть-1	у X-а (болеть) Y	болеть	uGEN	NOM	X	uGENNOM							
1	Russian	2	have#illness#	X (have) Y	болеть-2	X (болеть) Y-ом	болеть	NOM	INS	Y	NOMINS							
1	Russian	3	be_afraid	X (be afraid) of Y	бояться	X (бояться) Y-а	бояться	NOM	GEN	Y	NOMGEN							
1	Russian	4	throw	X (throw) Y	бросить	X (бросить) Y(-а)	бросить	TR		TR	TR							
1	Russian	5	have_enough	X (have enough) Y	быть достаточно	X-у (хватать) Y-а	хватать	DAT	GEN	XY	DATGEN							
1	Russian	6	resemble	X (resemble) Y	быть похожим	X (быть похожим) на Y(-а)	быть похожим	NOM	naACC	Y	NOMnaACC	NV						
1	Russian	7	believe	X (believe) Y	верить	X (верить)Y-у	верить	NOM	DAT	Y	NOMDAT							
1	Russian	8	take	X (take) Y	взять	X (брать) Y(-а)	взять	TR		TR	TR							
1	Russian	9	see	X (see) Y	видеть	X (видеть) Y(-а)	видеть	TR		TR	TR							
1	Russian	10	influence	X (influence) Y	влиять	X (влиять) на Y(-а)	влиять	NOM	naACC	Y	NOMnaACC							
1	Russian	11	encounter	X (encounter) Y	встречаться	X (встречаться) с Y-ом	встречаться	NOM	sINS	Y	NOMsINS							
1	Russian	12	enter	X (enter) Y	входить 	X (входить) в Y (дом)	входить 	NOM	vACC	Y	NOMvACC							
1	Russian	13	win	X (beat) Y	выиграть	X (выигрывать) у Y-а	выиграть	NOM	uGEN	Y	NOMuGEN							
1	Russian	14	go_out	X (go out) of Y	выходить	X (выходить) из Y-а	выходить	NOM	izGEN	Y	NOMizGEN							
1	Russian	15	drive	X (drive) Y	гнать	X (гнать) Y-а	гнать	TR		TR	TR							
1	Russian	16	bend	X (bend) Y	гнуть	X (гнуть) Y	гнуть	TR		TR	TR							
1	Russian	17	tell	X (tell) Y	говорить	X (говорить) Y-у	говорить	NOM	DAT	Y	NOMDAT							
1	Russian	18	hold	X (hold)Y	держать	X (держать) Y(-а)	держать	TR		TR	TR							
1	Russian	19	catch_up	X (catch up) with Y	догнать	X (догонять) Y(-а)	догнать	TR		TR	TR							
1	Russian	20	milk	X (milk) Y	доить	X (доить) Y-а	доить	TR		TR	TR							
1	Russian	21	reach	X (reach) Y	достичь	X (достичь) Y-а (берега) 	достичь	NOM	GEN	Y	NOMGEN							
1	Russian	22	touch	X (touch) Y	дотронуться	X (дотрагиваться) до Y-а	дотронуться	NOM	doGEN	Y	NOMdoGEN							
1	Russian	23	fight	X (fight) with Y	драться	X (драться) с Y-ом	драться	NOM	sINS	Y	NOMsINS							
1	Russian	24	be_friends	X (be friends) with Y	дружить	X (дружить) с Y-ом	дружить	NOM	sINS	Y	NOMsINS							
1	Russian	25	think	X (think) about Y	думать	X (думать) об Y-е (об отце)	думать	NOM	oLOC	Y	NOMoLOC							
1	Russian	26	eat	X (eat) Y	есть	X (есть) Y	есть	TR		TR	TR							
1	Russian	27	fry	X (fry) Y	жарить	X (жарить) Y	жарить	TR		TR	TR							
1	Russian	28	wait	X (wait) for Y	ждать	X (ждать) Y-а (сына)	ждать	TR		TR	TR	Раньше я думал, что это GEN						
1	Russian	29	forget	X (forget) (about) Y	забывать	X (забывать) об Y-е	забывать	NOM	oLOC	Y	NOMoLOC							
1	Russian	30	depend	X (depend) on Y	зависеть	X (зависеть) от Y-а	зависеть	NOM	otGEN	Y	NOMotGEN							
1	Russian	31	call	X (call) Y	звать	X (звать) Y-а	звать	TR		TR	TR							
1	Russian	32	get_to_know	X (get to know) Y	знакомиться	X (знакомиться) с Y-ом	знакомиться	NOM	sINS	Y	NOMsINS							
1	Russian	33	know	X (know) Y	знать 	X (знать) Y-а	знать 	TR		TR	TR							
1	Russian	34	play#instrument#	X (play) Y	играть	X (играть) на Y-е	играть	NOM	naINS	Y	NOMnaINS							
1	Russian	35	avoid	X (avoid) Y	избегать	X (избегать) Y-а	избегать	NOM	GEN	Y	NOMGEN	или TR						
1	Russian	36	make	X (make) Y	изготовить	X (изготовить) Y	изготовлять	TR		TR	TR							
1	Russian	37	make_fun	X (make fun) of Y	издеваться	X (издеваться) над Y-ом	издеваться	NOM	nadINS	Y	NOMnadINS							
1	Russian	38	have	X (have) Y	иметь	X (иметь) Y	быть	uGEN	NOM	X	uGENNOM	чаще у X-а (быть) Y						
1	Russian	39	look_for	X (look for) Y	искать	X (искать) Y(-а)	искать	TR		TR	TR	с неод. возможен РОД						
1	Russian	40	paint	X (paint) Y	красить	X (красить) Y	красить	TR		TR	TR							
1	Russian	41	bite	X (bite) Y	кусать	X (кусать) Y-а	кусать	TR		TR	TR							
1	Russian	42	forfeit	X (lose) Y	лишаться	X (лишаться) Y-а	лишаться	NOM	GEN	Y	NOMGEN							
1	Russian	43	try_to_catch	X (try to catch) Y	ловить	X (ловить) Y(-а)	ловить	TR		TR	TR							
1	Russian	44	break	X (break) Y	ломать	X (ломать) Y	ломать	TR		TR	TR							
1	Russian	45	flatter	X (flatter) Y	льстить	X (льстить) Y-у	льстить	NOM	DAT	Y	NOMDAT							
1	Russian	46	love1	X (love) Y	любить-1	X (любить) Y-а (сына)	любить-1	TR		TR	TR							
1	Russian	47	wave	X (wave) Y	махать	X (махать) Y-ом	махать	NOM	INS	Y	NOMINS							
1	Russian	48	dream	X (dream) of Y	мечтать	X (мечтать) об Y-е	мечтать	NOM	oLOC	Y	NOMoLOC							
1	Russian	49	wash	X (wash) Y	мыть	X (мыть) Y	мыть	TR		TR	TR							
1	Russian	50	put_on	X (put_on) Y	надевать	X (надевать) Y	надевать	TR		TR	TR							
1	Russian	51	be_called	X (be_called) Y	называться	X (называться) Y	называться	NOM	INS	Y	NOMINS	или НОМ						
1	Russian	52	punish	X (punish) Y	наказывать	X (наказывать) Y-а	наказывать	TR		TR	TR							
1	Russian	53	attack	X (attack) Y	напасть	X (нападать) на Y-а	напасть	NOM	naACC	Y	NOMnaACC							
1	Russian	54	fill#intr#	X (fill) with Y	наполняться	X (наполняться) Y-ом	наполняться	NOM	INS	Y	NOMINS							
1	Russian	55	find	X (find) Y	находить	X (находить) Y(-а)	находить	TR		TR	TR							
1	Russian	56	be_short	X (be short) Y	недоставать	X-у (недоставать) Y-a	недоставать	DAT	GEN	XY	DATGEN							
1	Russian	57	hate	X (hate) Y	ненавидеть	X (ненавидеть) Y-а	ненавидеть	TR		TR	TR							
1	Russian	58	like	X (like) Y	нравиться	X-у (нравиться) Y	нравиться	DAT	NOM	X	DATNOM							
1	Russian	59	need	X (need) Y	нуждаться	X (нуждаться) в Y-е	нуждаться	NOM	vLOC	Y	NOMvLOC							
1	Russian	60	surround	X (surround) Y	окружать	X (окружать) Y (стена город)	окружать	TR		TR	TR							
1	Russian	61	remain	X (have) Y left	оставаться	у X-а (оставаться) Y	оставаться	uGEN	NOM	X	uGENNOM							
1	Russian	62	answer	X (answer) Y	отвечать	X (отвечать) Y-у	отвечать	NOM	DAT	Y	NOMDAT							
1	Russian	63	open	X (open) Y	открывать	X (открывать) Y	открывать	TR		TR	TR							
1	Russian	64	be_different	X (be different) from Y	отличаться	X (отличаться) от Y-а	отличаться	NOM	otGEN	Y	NOMotGEN							
1	Russian	65	fall_behind	X (fall behind) Y	отстать	X (отставать) от Y-а	отстать	NOM	otGEN	Y	NOMotGEN							
1	Russian	66	plough	X (plough) Y	пахать	X (пахать) Y	пахать	TR		TR	TR							
1	Russian	67	smell	X (smell) like / of Y	пахнуть	X (пахнуть) Y-ом	пахнуть	NOM	INS	Y	NOMINS							
1	Russian	68	cross	X (cross) Y	пересечь	X (пересекать) Y (улицу) 	пересечь	TR		TR	TR							
1	Russian	69	sing	X (sing) Y	петь	X (петь) Y	петь	TR		TR	TR							
1	Russian	70	write	X (write) Y	писать	X (писать) Y	писать	TR		TR	TR							
1	Russian	71	drink	X (drink) Y	пить	X (пить) Y	пить	TR		TR	TR							
1	Russian	72	melt	X (melt) Y	плавить	X (плавить) Y	плавить	TR		TR	TR							
1	Russian	73	match	X (match) Y	подходить	X (подходить) к Y-у (пояс к платью)	подходить	NOM	kDAT	Y	NOMkDAT							
1	Russian	74	leave	X (leave) Y	покидать	X (покидать) Y(-а)	покидать	NOM	izGEN	Y	NOMizGEN							
1	Russian	75	cover	X (cover) Y	покрывать	X (покрывать) Y	покрывать	TR		TR	TR							
1	Russian	76	remember	X (remember) Y	помнить	X (помнить) Y-а	помнить	NOM	oLOC	Y	NOMoLOC							
1	Russian	77	help	X (help) Y	помочь	X (помогать) Y-у	помочь	NOM	DAT	Y	NOMDAT	3?						
1	Russian	78	understand	X (understand) Y	понимать	X (понимать) Y	понимать	TR		TR	TR							
1	Russian	79	hit#target#	X (hit) Y	попасть	X (попадать) в Y (молния в дом)	попасть	NOM	vACC	Y	NOMvACC							
1	Russian	80	cut_oneself	X (cut oneself) with Y	порезаться	X (резаться) Y-ом	порезаться	NOM	INS	Y	NOMINS							
1	Russian	81	get_stuck	X (get stuck) to Y	прилипать	X (прилипать) к Y-у	прилипать	NOM	kDAT	Y	NOMkDAT							
1	Russian	82	lose#game#	X (lose) to Y	проиграть	X (проиграть) Y-у	проиграть	NOM	DAT	Y	NOMDAT							
1	Russian	83	be_glad	X (be glad) about Y	радоваться	X (радоваться) Y-у	радоваться	NOM	DAT	Y	NOMDAT							
1	Russian	84	speak	X (speak) with Y	разговаривать	X (разговаривать) с Y-ом	разговаривать	NOM	sINS	Y	NOMsINS							
1	Russian	85	give_birth	X (give birth) to Y	рожать	X (рожать) Y-а	рожать	TR		TR	TR							
1	Russian	86	drop	X (drop) Y	ронять	X (ронять) Y	ронять	TR		TR	TR							
1	Russian	87	govern	X (govern) Y	руководить	X (руководить) Y	руководить	NOM	INS	Y	NOMINS							
1	Russian	88	miss	X (miss) Y	скучать	X (скучать) по Y-у	скучать	NOM	poDAT	Y	NOMpoDAT	было по ПРЕД						
1	Russian	89	follow	X (follow) Y	следовать	X (следовать) за Y-ом	следовать	NOM	zaINS	Y	NOMzaINS							
1	Russian	90	dismount	X (get down) from Y	слезать	X (слезать) с Y-a (с лошади)	слезать	NOM	sGEN	Y	NOMsGEN							
1	Russian	91	listen	X (listen) to Y	слушать	X (слушать) Y	слушать	TR		TR	TR							
1	Russian	92	obey	X (obey) Y	слушаться	X (слушаться) Y-a	слушаться	TR		TR	TR							
1	Russian	93	hear	X (hear) Y	слышать	X (слышать) Y	слышать	TR		TR	TR							
